Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
101814.13,-2443.12,0,-1.0,1.0,1.0
106814.63,3126.39,0,1.0,1.0,1.0
113471.13,-2443.12,0,-1.0,1.0,1.0
111815.13,-2443.12,0,1.0,1.0,1.0
110158.13,-2443.12,0,1.0,1.0,1.0
111814.13,-2443.12,0,-1.0,1.0,1.0
116814.63,3126.39,0,1.0,1.0,1.0
123471.13,-2443.12,0,-1.0,1.0,1.0
121815.13,-2443.12,0,1.0,1.0,1.0
120158.13,-2443.12,0,1.0,1.0,1.0
121814.13,-2443.12,0,-1.0,1.0,1.0
126814.63,3126.39,0,1.0,1.0,1.0
133471.13,-2443.12,0,-1.0,1.0,1.0
131815.13,-2443.12,0,1.0,1.0,1.0
130158.13,-2443.12,0,1.0,1.0,1.0
131814.13,-2443.12,0,-1.0,1.0,1.0
47166.64,72422.13,0,1.0,1.0,1.0
56709.64,72422.13,0,1.0,1.0,1.0
65712.64,71162.16,0,112.5,112.5,112.5
67166.64,72422.13,0,1.0,1.0,1.0
75601.14,71162.16,0,112.5,112.5,112.5
76709.64,72422.13,0,1.0,1.0,1.0
77161.64,72422.13,0,1.0,1.0,1.0
86704.64,72422.13,0,1.0,1.0,1.0
35679.95,-10805.19,0,112.5,112.5,112.5
35734.35,-13697.57,0,112.5,112.5,112.5
45239.6,-13689.66,0,112.5,112.5,112.5
125229.6,-13689.66,0,112.5,112.5,112.5
128026.53,-13689.66,0,112.5,112.5,112.5
137894.6,-13582.16,0,112.5,112.5,112.5
137894.6,-1405.2,0,112.5,112.5,112.5
45222.96,-5925.62,0,1.0,1.0,1.0
45222.96,-5925.62,0,1.0,1.0,1.0
45222.96,-5925.62,0,1.0,1.0,1.0
43914.63,-7465.62,0,1.0,1.0,1.0
43914.63,-6603.12,0,1.0,1.0,1.0
45014.63,-6900.62,0,1.0,1.0,1.0
45014.63,-6025.62,0,1.0,1.0,1.0
45514.63,-5150.62,0,-1.0,1.0,1.0
45514.63,-6900.62,0,-1.0,1.0,1.0
45514.63,-6025.62,0,-1.0,1.0,1.0
45514.63,-4280.62,0,-1.0,1.0,1.0
37016.64,58349.13,0,1.0,1.0,1.0
37016.64,63349.13,0,1.0,1.0,1.0
37016.64,68349.13,0,1.0,1.0,1.0
136612.62,68349.13,0,-1.0,1.0,1.0
136612.62,63349.13,0,-1.0,1.0,1.0
136612.62,58349.13,0,-1.0,1.0,1.0
85623.6,46134.64,0,112.5,112.5,112.5
105596.61,46134.64,0,112.5,112.5,112.5
128114.63,50969.1,0,-1.0,1.0,1.0
129714.63,48409.1,0,-1.0,1.0,1.0
129714.63,49271.6,0,-1.0,1.0,1.0
128114.63,49849.1,0,1.0,1.0,1.0
128614.63,49849.1,0,-1.0,1.0,1.0
128614.63,48974.1,0,-1.0,1.0,1.0
128114.63,48974.1,0,1.0,1.0,1.0
130014.63,51404.64,0,-1.0,1.0,1.0
128704.63,52049.1,0,-1.0,1.0,1.0
132336.36,-9914.96,0,-112.5,112.5,112.5
128406.3,-5925.62,0,-1.0,1.0,1.0
128406.3,-5925.62,0,1.0,1.0,1.0
128406.3,-5925.62,0,1.0,1.0,1.0
129714.63,-7465.62,0,-1.0,1.0,1.0
129714.63,-6603.12,0,-1.0,1.0,1.0
128614.63,-6900.62,0,-1.0,1.0,1.0
128614.63,-6025.62,0,-1.0,1.0,1.0
128114.63,-5150.62,0,1.0,1.0,1.0
128114.63,-6900.62,0,1.0,1.0,1.0
128114.63,-6025.62,0,1.0,1.0,1.0
